School,Year,salary_type,job_type,salary
Amherst,2020,real_salaries,all_fac,"115,573"
Amherst,2020,real_salaries,full,"155,833"
Amherst,2020,real_salaries,assoc,"110,986"
Amherst,2020,real_salaries,assist,"93,329"
Amherst,2020,cola_adj_salaries,all_fac,"125,628"
Amherst,2020,cola_adj_salaries,full,"142,275"
Amherst,2020,cola_adj_salaries,assoc,"101,330"
Amherst,2020,cola_adj_salaries,assist,"85,859"
Bates,2020,real_salaries,all_fac,"101,539"
Bates,2020,real_salaries,full,"134,487"
Bates,2020,real_salaries,assoc,"105,217"
Bates,2020,real_salaries,assist,"85,862"
Bates,2020,cola_adj_salaries,all_fac,"115,652"
Bates,2020,cola_adj_salaries,full,"153,181"
Bates,2020,cola_adj_salaries,assoc,"119,842"
Bates,2020,cola_adj_salaries,assist,"85,862"
Bowdoin,2020,real_salaries,all_fac,"114,601"
Bowdoin,2020,real_salaries,full,"146,857"
Bowdoin,2020,real_salaries,assoc,"113,680"
Bowdoin,2020,real_salaries,assist,"91,352"
Bowdoin,2020,cola_adj_salaries,all_fac,"107,266"
Bowdoin,2020,cola_adj_salaries,full,"137,458"
Bowdoin,2020,cola_adj_salaries,assoc,"106,405"
Bowdoin,2020,cola_adj_salaries,assist,"85,506"
Carleton,2020,real_salaries,all_fac,"117,620"
Carleton,2020,real_salaries,full,"141,305"
Carleton,2020,real_salaries,assoc,"107,210"
Carleton,2020,real_salaries,assist,"88,514"
Carleton,2020,cola_adj_salaries,all_fac,"114,797"
Carleton,2020,cola_adj_salaries,full,"137,914"
Carleton,2020,cola_adj_salaries,assoc,"104,637"
Carleton,2020,cola_adj_salaries,assist,"86,389"
Claremont McKenna,2020,real_salaries,all_fac,"138,183"
Claremont McKenna,2020,real_salaries,full,"176,098"
Claremont McKenna,2020,real_salaries,assoc,"128,042"
Claremont McKenna,2020,real_salaries,assist,"108,670"
Claremont McKenna,2020,cola_adj_salaries,all_fac,"47,397"
Claremont McKenna,2020,cola_adj_salaries,full,"60,402"
Claremont McKenna,2020,cola_adj_salaries,assoc,"43,918"
Claremont McKenna,2020,cola_adj_salaries,assist,"37,274"
